,Nombre,R2,MAE,MSE,RMSE,Tiempo
0,Regresión Lineal,0.730842349352878,1.7099876107509049,6.292345987715127,2.5084549004746184,0.06888365745544434
1,Vecinos más cercanos - 1,0.5139266402024492,2.313451004260499,11.36338405356056,3.370961888476427,0.10126495361328125
2,Vecinos más cercanos - 3,0.6949447677889897,1.868837492391966,7.13155677284101,2.6704974766587983,0.07369542121887207
3,Vecinos más cercanos - 5,0.7262807274717942,1.7640657334144858,6.39898721850274,2.529621951696091,0.06862664222717285
4,Vecinos más cercanos - 7,0.7343463750729412,1.7433614468307104,6.210429155228738,2.492073264418351,0.07926678657531738
5,Árbol de decisión,0.6066420060065632,2.086366402921485,9.195891661594644,3.0324728624663146,0.1186065673828125
6,RFR - 10,0.7759371673691843,1.5735849056603772,5.238122945830797,2.2886945942678323,0.5993423461914062
7,RFR - 100,0.7915433248546848,1.5390109555690812,4.873283446743761,2.2075514595913184,5.5051727294921875
8,RFR - 1000,0.7939110444418691,1.5225545952525872,4.8179310879732276,2.194978607634532,54.56453204154968
9,ExtraTrees - 10,0.7681051911064063,1.6069872185027387,5.421218259281802,2.328350974248041,0.41837215423583984
10,ExtraTrees - 100,0.7929351212382,1.5261144248326233,4.840746142422399,2.2001695712881766,4.349009037017822
11,ExtraTrees - 1000,0.7917668652249209,1.5339794278758367,4.868057537881926,2.2063674983741777,37.300684690475464
12,GBR,0.7990800073600618,1.5075022400468787,4.69709148708973,2.167277436575606,1.703803539276123
13,Ridge,0.7304648993505864,1.7124771084598083,6.301169983621511,2.510213135098594,0.06548762321472168
